"channel","type"
"Трейлеры Ovideo","Развлекательные"
"Третий Цифровой (Одесса)","Украинские"
"Третий Цифровой","Украинские"
"Три Ангела","Религиозные"
"ТРК 555 (Алушта)","Региональные"
"ТРК Заречный","Региональные"
"ТРК Киiв","Украинские"
"ТРК Круг (Одесса)","Украинские"
"ТРК Раi","Украинские"
"ТРК Рудана","Украинские"
"ТРК Черновцы","Украинские"
"Трофей HD","Мужские"
"Трофей","Мужские"
"ТТС","Магазин"
"Туран-ТВ","Региональные"
"Тюменское время","Региональные"
"Украина","Украинские"
"Униан ТВ","Украинские"
"Униан","Украинские"
"УрФО 24 HD","Региональные"
"Усадьба","Познавательные"
"Успех","Познавательные"
"Учалы ТВ","Региональные"
"ФАНТАСТИКА HD","Фильмы"
"Фауна (Украина)","Украинские"
"Фауна","Украинские"
"Феникс Плюс Кино","Фильмы"
"Феникс+ Кино","Фильмы"
"Футбол 1 (Украина)","Спорт"
"Футбол 2 (Украина)","Спорт"
"Футбол","Спорт"
"Хабар 24","Казахстан"
"Хабар","Казахстан"
"Халык Арна","Казахстан"
"Хамелеон ТВ (KG) [FHD]","Кыргызстан"
"Хамелеон ТВ (KG)","Кыргызстан"
"Хамелеон ТВ HD (KG)","Кыргызстан"
"Херсон Плюс","Украинские"
"Хорошее кино","Фильмы"
"Центральный канал","Украинские"
"Че (+2)","Развлекательные"
"Че (+4)","Развлекательные"
"Че (+7)","Развлекательные"
"Че +2 (Сургут)","Региональные"
"Че!/Север (Сургут) +2","Региональные"
"Че","Развлекательные"
"Чернівецький Промінь HD","Украинские"
"Черновицкий Проминь HD","Украинские"
"Черновцы ТВ","Украинские"
"Черновцы Телеканал","Украинские"
"Черноморская ТРК","Украинские"
"ЧП Инфо","Украинские"
"ЧП-Инфо","Украинские"
"Шалун HD","Для взрослых"
"Шансон ТВ","Музыка"
"Эврика HD","Познавательные"
"Эгоист ТВ","Мужские"
"Экспресс (Пенза)","Региональные"
"Эфир 24 (Татарстан 24)","Региональные"
"Эхо TV (Рязань)","Региональные"
"Эхо TV","Региональные"
"Эхо ТВ 24","Региональные"
"Эхо ТВ","Региональные"
"Ю (+7)","Развлекательные"
"Ю","Развлекательные"
"Ювелирочка","Магазин"
"Югра ТВ","Региональные"
"Югра","Региональные"
"Южная Волна HD","Региональные"
"Юмор Box","Развлекательные"
"Юмор TV","Развлекательные"
"Юмор ТВ","Развлекательные"
"Юнион","Иностранные"
"Юрган HD","Региональные"
"Юрган ТВ HD","Региональные"
"Юрган","Региональные"
"Ямал Регион","Региональные"
"Ямал-Регион","Региональные"
"ЯТБ (Херсон)","Украинские"
"ЯТБ","Украинские"
"Sirius","Украинские"
"Арт видео","Украинские"
"Лида","Белорусские"
"Минск","Белорусские"
"Плюс тв","Новостные"
